,tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux,star_tessid,twomass,gaiaid,sector,magnitude,luminosity,metallicity,distance,star_mass,star_radius,constellation,rightascension,declination
57,00141865875-01,141865875,1,3,7365.0,4.438,0.223138,9.57485e-06,2.34967,0.556516,0.0115414,3.0550900000000003,0.0109136,1.86486,143.514,15.8031,0.5030899999999999,1325.4,0.000420381,0.00789706,0.50515,11.7617,0.13357,252,202.105,10.2829,3.0503400000000003,4248.18,76972.2,141865875,06151258-7703083,5.260335176587744e+18,s0005,7.6885,DWARF,,118.604,1.67,1.7329599999999998,Mensa,93.80230952,-77.05237387
60,00141975926-01,141975926,1,2,3340.0,4.438,26.2129,0.00260352,7.1703199999999985,1.62204,0.06568049999999999,103.113,0.172782,1.0,5139.79,660.0189999999999,2.06782,1331.2,0.0017718,0.12769,0.044782800000000005,8.43126,5.18055,2,2.82775,12.3977,10.0459,354.56,3.73489,141975926,06234024-7504327,,s0001,11.116,,,,,,Mensa,95.91767,-75.075775
62,00141977935-01,141977935,1,1,5532.0,4.37396,23.6472,0.00705961,7.8286,10.6448,0.0675028,16.4753,0.159895,1.06233,2004.8,276.786,4.45607,1347.48,0.00429507,2.22804,0.987439,6.37662,1.72083,2,0.5524,8.81954,6.875839999999998,629.197,37.0397,141977935,06253289-7625358,5.260641493657801e+18,s0001,9.556000000000001,DWARF,,108.21630900000001,,1.06233,Mensa,96.38713933,-76.42667458
63,00142052876-01,142052876,1,2,2892.0,5.05595,26.9145,0.00308954,1.33362,0.17143599999999998,0.0629694,65.2712,0.0946958,0.194,4616.29,618.698,3.26608,1334.1,0.00217676,0.204103,0.234571,4.44162,1.15694,2,5.676069999999998,19.4086,18.5952,182.653,0.263041,142052876,06304661-7643094,,s0001,10.889000000000001,DWARF,,,0.162985,0.193868,Mensa,97.6942,-76.7192
65,00142108949-01,142108949,1,4,2871.0,4.438,14.4783,0.00169227,1.57218,0.258549,0.0144012,14.5538,0.11631500000000003,1.0,222.835,32.6456,5.9966800000000005,1332.8,0.00253372,0.142627,0.638916,7.3928699999999985,1.95278,4,8.92345,10.7535,8.293339999999999,371.456,4.49938,142108949,06374179-7732185,5.212262775877275e+18,s0005,4.761,,,349.54400000000004,,,Mensa,99.42388082,-77.53855593
69,00149102762-01,149102762,1,1,5780.0,4.438,0.7383930000000001,0.000118254,9.23947,6.52475,0.0846339,1.13401,0.015996100000000003,1.0,3327.48,238.24400000000003,5.32691,1325.82,0.00492001,2.66345,0.983501,2.02124,0.1875,76,89.9005,9.84502,2.98519,2016.57,3908.16,149102762,05214466-6546332,4.660556394032458e+18,s0002,12.5834,,,3785.82,,,Dorado,80.43614344,-65.77593458
70,00149216532-01,149216532,1,1,3057.0,4.438,0.310796,2.00538e-05,4.49701,3.22519,0.041192800000000016,2.10765,0.00898405,1.0,1908.8,262.254,1.09776,1325.51,0.00133214,0.0609001,0.5,8.60319,0.15800999999999998,181,123.726,7.485010000000001,2.67086,1423.15,969.452,149216532,05281252-6336256,4.757250642013698e+18,s0001,13.2205,DWARF,,50.5635,0.278442,0.30159899999999995,Dorado,82.0522128,-63.60702
71,00149248196-01,149248196,1,6,5128.0,4.438,38.2731,0.00101883,6.78619,0.799975,0.0743499,88.3106,0.197354,0.8360709999999999,6658.43,846.273,3.5568800000000005,1332.91,0.00089456,0.246197,0.0124421,10.9469,9.33611,2,2.65826,27.6104,23.888,465.735,11.1192,149248196,05284484-6526551,,s0005,6.0489999999999995,GIANT,,13.6560421,,,Dorado,82.18687299999999,-65.448621
77,00149273299-01,149273299,1,1,5781.0,4.21661,16.6578,0.00320201,3.76209,3.09152,0.026219,37.5721,0.129294,1.31435,803.7389999999998,138.305,3.47621,1332.75,0.00422092,0.0888354,0.0033012,4.04064,-1.53333,3,2.4041200000000003,9.73657,9.10395,813.32,103.411,149273299,05320673-6359387,4.757038573714974e+18,s0001,10.015,DWARF,,183.225,1.03,1.33588,Dorado,83.02801888,-63.99409589
78,00149308175-01,149308175,1,1,5751.3,4.08,0.280385,1.30925e-05,5.20072,4.00294,0.0366145,1.11533,0.00759503,1.30109,577.932,50.7661,1.3546,1325.48,0.00114471,0.677299,0.991772,7.056589999999999,0.14420999999999998,200,77.1606,12.4081,2.7742400000000003,3321.6,28767.9,149308175,05335819-6354085,4.75704238764594e+18,s0005,9.8613,DWARF,0.18,187.28799999999998,1.03,1.45695,Dorado,83.49258688,-63.90237436
